Daily_Flushes,Flush_Volume,Membrane_Flux,Velocity_Crossflow,Pressure_Membrane,Fill_Fraction_GAC_Column,UF_GAC_N_P_Removal,Clinoptilolite_Capacity,Polonite_Capacity,N_Content_Protein,N_P_Excretion,N_Urine,P_Content_A_Protein,P_Content_V_Protein,P_Urine,Seperation_Efficiency,Density_GAC,Lifetime_GAC,Power_Required_Treatment_EC,Current_EC,Power_Stirrer,Flowrate_Discharge,Pump_UF_Lifetime,Membrane_UF_Lifetime,Switch_Lifetime,Valve_UF_Lifetime,Electrode_EC_Lifetime,Stirrer_Lifetime,U_Pump_Misc_Lifetime,Zeo_GHG,GAC_GHG,E_Hydro_GHG,E_Wind_GHG,E_Solar_GHG,E_Gas_GHG,UF_Material_Impacts,GAC_Material_Impacts,EC_Material_Impacts,Misc_Material_Impacts,Controls_Material_Impacts
4.186186882,9.24077922,160.4993208,4.816522285,2.540514198,0.821824486,0.430893698,9.366523044,10.55280992,0.140630217,0.997456399,0.904219864,0.014132832,0.005788959,0.619396304,0.880139631,422.1894944,8179.695425,6.195331545,6.436013712,21.66502472,11.95624177,10.92868109,2.835011176,10.29429014,6.497439645,1.874432403,2.711413881,9.953753649,1.709129879,8.017406529,0.056614111,0.018328959,0.070969262,0.672416343,0.004146865,0.001297217,0.001084651,0.055909557,0.008384976
3.361113091,7.372999395,132.3840244,4.804828466,0.206401758,0.831128596,0.35676387,10.09437498,10.22821119,0.171461695,0.995419848,0.872813129,0.02071588,0.012555174,0.661262636,0.800332042,405.8312055,9382.918063,5.850329598,5.548587253,29.2352157,11.76014199,11.65796904,2.921137517,9.637537563,4.003395955,2.104628543,5.990355618,10.44021928,1.811883707,7.890742727,0.058632227,0.016717655,0.074188731,0.556211596,0.003812167,0.001160231,0.001039977,0.054687121,0.00812617
5.834078077,7.297233799,138.6672663,5.494726846,3.113314272,0.797257995,0.349776049,10.04263778,9.209166082,0.153633623,0.992692793,0.856052752,0.018320687,0.006328826,0.614579358,0.815788612,434.5202844,9519.230648,6.116699012,4.16640843,20.35528665,12.80634308,8.644759169,3.089915941,8.357655011,4.954536547,2.039760081,3.003577412,9.161885393,1.829899127,8.680468258,0.058965635,0.019346597,0.078301082,0.581461147,0.004216481,0.001289366,0.001096305,0.060916384,0.007979664
2.023477203,9.19926917,156.829881,4.51980443,0.289731401,0.778401296,0.348873161,9.995112943,9.991320727,0.163302729,0.99915347,0.844807325,0.028361723,0.009265294,0.663168486,0.813672544,497.9697957,5115.78987,5.768028611,4.102704321,25.34765433,13.74059361,11.01465932,2.961956357,8.694929864,5.078735598,2.079828312,4.762027189,9.899037458,1.612295896,8.350025588,0.051155059,0.018174782,0.076638887,0.612690387,0.004227549,0.001172732,0.001095438,0.053510903,0.007921101
4.786317373,9.11444946,130.1510123,4.577441467,2.646930873,0.786375239,0.354875292,10.25822398,10.00203587,0.151368572,0.997924511,0.895785704,0.005021118,0.007368959,0.624036102,0.826624303,464.5392675,9370.326829,5.772791686,4.790654582,24.07570624,14.14404262,11.02198954,3.118814097,9.118995632,4.295640665,2.024969239,6.242212885,9.801643412,1.870610817,8.16782155,0.06295678,0.019639066,0.073044324,0.48411352,0.003886186,0.001249109,0.001167474,0.058404532,0.008009403
1.052874011,7.997838814,144.6232062,5.285615739,0.908418422,0.759289672,0.431804451,9.345489981,9.599434913,0.158355338,0.99907513,0.872111271,0.021412721,0.009012053,0.673255879,0.846105068,401.7850592,11727.60159,5.925154684,6.277397556,21.03839509,13.09873449,7.912948453,3.024322614,8.188519536,3.646545671,2.122734323,3.579018149,9.736604948,1.887993351,8.919586838,0.051268007,0.023242736,0.078815539,0.649463324,0.003947022,0.001252349,0.000988462,0.054978018,0.008427731
3.536339173,9.365577948,159.5787035,4.878032943,1.295714576,0.79275329,0.389065842,10.01470234,9.939025028,0.185646648,0.991773553,0.789584251,0.025320703,0.008733093,0.696289035,0.80755396,451.3423052,7314.405289,5.604555975,6.481596597,22.564683,15.91862163,11.00347054,2.983169239,9.990817853,6.227422674,1.955400743,6.065485726,9.620385676,1.736508175,8.971333825,0.052734301,0.017206215,0.080825128,0.658595989,0.004248816,0.00125003,0.000970992,0.050554656,0.008671481
4.701469135,9.441397823,129.9642038,5.019761536,2.099400326,0.754054153,0.330179271,9.815908369,10.69502549,0.149431133,0.998318013,0.801155547,0.0251467,0.017603899,0.660169349,0.875645204,472.0776225,8024.089573,6.361579504,6.093511875,18.02132242,11.59517059,9.073609219,3.019695773,11.57335218,4.93154415,2.111995981,4.499401291,9.962872951,1.867540246,9.108074212,0.059580653,0.021870514,0.076088499,0.615323884,0.003973337,0.001186436,0.000976594,0.052485475,0.008035823
5.799176217,6.895358577,147.4363964,4.818029289,1.363760878,0.780284427,0.468050178,9.717967943,9.029376184,0.138978273,0.99744784,0.862797761,0.018159135,0.020220206,0.675256228,0.838926231,475.2618309,7637.441623,5.70525143,4.114106552,22.19981085,14.21842804,10.6881093,2.899872765,10.40860299,5.575933396,1.950063891,6.226810908,10.45288727,1.876661649,8.003452307,0.059213533,0.019800232,0.082106089,0.592994182,0.00381743,0.00124003,0.000845702,0.060803512,0.008725518
5.201288097,9.651904072,167.8884919,3.633979826,1.240515728,0.812019096,0.465068349,10.37274118,9.070151278,0.168453116,0.994436911,0.857833627,0.041020273,0.008199327,0.678520162,0.836455751,419.8755522,10569.79859,5.905305386,4.246461263,27.16050563,10.91439567,10.83277599,2.746647232,11.03694811,6.780610735,1.902708184,5.184308086,9.907163405,1.851434853,8.828170137,0.063543097,0.02092143,0.073127525,0.479068712,0.004215111,0.001232059,0.000912872,0.055661933,0.008688028
4.552479243,7.887523218,142.4315535,5.30986384,2.921588052,0.832715847,0.425484839,9.937426253,10.64659975,0.159864007,0.993806841,0.842128846,0.028073669,0.014428469,0.65996626,0.889977408,450.209641,11245.88641,5.630355199,5.13945998,19.02503774,12.36336573,10.04413612,3.047452006,11.78988808,6.621223947,1.978303109,3.920653738,10.82992188,1.723053014,8.522943134,0.059240962,0.01682741,0.0754591,0.582009379,0.004001035,0.001270921,0.001217581,0.053418143,0.00842215
